# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	561
#@/user_id	33e91bdb-5ca1-4f37-9238-e29cf6b8326d
hu zhi ming 	胡志明	c=3 d=0.61133 t=561
hua 	華	c=2 d=0.49692 t=561
hui shi 	回事	c=1 d=0.980199 t=561
huo zhe 	或者	c=3 d=1.16951 t=561
ji 	記	c=0 d=0.0873716 t=561
ji chang 	機場	c=6 d=1.57956 t=561
ji dian 	幾點	c=0 d=0.0818731 t=561
ji dian dao 	幾點到	c=1 d=0.822835 t=561
ji ge 	幾個	c=1 d=0.179964 t=561
ji ji 	幾集	c=1 d=0.937067 t=561
ji piao 	機票	c=1 d=0.19205 t=561
jian 	見	c=0 d=0.0904837 t=561
jian chi 	堅持	c=1 d=0.715338 t=561
jiang 	蔣	c=1 d=0.245367 t=561
jie hun 	結婚	c=0 d=0.0618783 t=561
jie hun le 	結婚了	c=1 d=0.621885 t=561
jie jue 	解決	c=1 d=0.683861 t=561
jin tian 	今天	c=2 d=0.961438 t=561
jing 	靜	c=1 d=0.249075 t=561
jiu 	就	c=3 d=1.3596 t=561
jiu dian 	酒店	c=1 d=0.985112 t=561
jiu fu jin 	就附近	c=1 d=0.913931 t=561
jiu suan 	就算	c=1 d=0.932394 t=561
jue ding 	決定	c=2 d=0.542373 t=561
ka fei 	咖啡	c=0 d=0.0162026 t=561
kai qi 	開啓	c=1 d=0.891366 t=561
kan kan 	看看	c=1 d=0.831104 t=561
ke yi 	可以	c=2 d=0.965605 t=561
kuai jie jian 	快捷鍵	c=1 d=0.279431 t=561
kuai le 	快了	c=1 d=0.985112 t=561
la zi 	辣子	c=0 d=0.0873716 t=561
lai 	來	c=0 d=0.067368 t=561
lai de 	來的	c=1 d=0.299692 t=561
lai zhe 	來着	c=1 d=0.216536 t=561
lao 	老	c=0 d=0.0496585 t=561
lao si ji 	老司機	c=1 d=0.499074 t=561
le 	了	c=2 d=1.11058 t=561
li hun 	離婚	c=0 d=0.0726149 t=561
li qi 	力氣	c=1 d=0.927743 t=561
lian piao 	聯票	c=1 d=0.369723 t=561
liang wei 	兩位	c=1 d=0.496585 t=561
ling 	嶺	c=1 d=0.13068 t=561
lu kou 	路口	c=1 d=0.128735 t=561
lv you 	旅遊	c=4 d=0.561577 t=561
lv yu o 	率與哦	c=1 d=0.13466 t=561
ma 	嗎	c=4 d=0.906494 t=561
ma 	嘛	c=1 d=0.882497 t=561
ma bi 	麻痹	c=1 d=0.701173 t=561
ma feng wo 	馬蜂窩	c=1 d=0.124307 t=561
mai 	買	c=3 d=0.837335 t=561
mai hao de 	買好的	c=1 d=0.527292 t=561
mai piao 	買票	c=1 d=0.390628 t=561
me 	麼	c=2 d=0.990909 t=561
mei 	沒	c=1 d=0.923116 t=561
mei nai 	美奈	c=5 d=2.09601 t=561
mei you 	沒有	c=3 d=0.896516 t=561
ming tian 	明天	c=2 d=1.27129 t=561
ming zi 	名字	c=1 d=0.229925 t=561
mu si lin 	穆斯林	c=3 d=2.21588 t=561
na 	哪	c=1 d=0.99005 t=561
na bian 	那邊	c=0 d=0.0447088 t=561
na bian de 	那邊的	c=1 d=0.449329 t=561
na ge 	哪個	c=2 d=0.75536 t=561
na ge 	那個	c=1 d=0.585669 t=561
na li 	哪裏	c=1 d=0.16696 t=561
nan hai 	南海	c=1 d=0.15259 t=561
nan peng you 	男朋友	c=1 d=0.891366 t=561
nao dai 	腦袋	c=0 d=0.087358 t=561
nao dai bei 	腦袋被	c=1 d=0.657047 t=561
ne 	呢	c=2 d=0.923858 t=561
ni 	你	c=1 d=0.67368 t=561
ni bi wo 	你比我	c=1 d=0.88692 t=561
ni da gai 	你大概	c=1 d=0.818731 t=561
ni hao 	你好	c=1 d=0.701173 t=561
ni jiu 	你就	c=1 d=0.677057 t=561
nian ji 	年紀	c=1 d=0.640824 t=561
niao chao 	鳥巢	c=1 d=0.985112 t=561
nie 	捏	c=0 d=0.0396531 t=561
nv 	女	c=1 d=0.571209 t=561
o 	哦	c=1 d=0.680451 t=561
ou yang 	歐陽	c=3 d=1.41291 t=561
pi qi 	脾氣	c=1 d=0.680451 t=561
pian duan 	片段	c=3 d=2.78472 t=561
piao 	票	c=3 d=1.5962 t=561
pin yin 	拼音	c=1 d=0.951229 t=561
ping pu 	平鋪	c=1 d=0.292293 t=561
po 	破	c=0 d=0.0219808 t=561
po nao dai 	破腦袋	c=1 d=0.22091 t=561
qi 	器	c=1 d=0.289384 t=561
qi 	騎	c=1 d=0.159614 t=561
qi yi 	奇異	c=0 d=0.0900325 t=561
qian 	錢	c=2 d=0.429836 t=561
qian she 	牽涉	c=1 d=0.154124 t=561
qian zheng 	簽證	c=4 d=0.569426 t=561
qiang lie 	強烈	c=1 d=0.918512 t=561
